data,dia_semana,mes,tipo_dia,epoca,departamento,taxa_ocupacao,quartos_ocupados,total_quartos,n_checkins,n_checkouts,evento_especial,descricao_evento,quartos_a_limpar_estimados
2025-01-01,Quarta,1,Feriado,Baixa,Housekeeping,0.52,62,120,24,16,0,Sem_evento,47
2025-01-02,Quinta,1,Semana,Baixa,Housekeeping,0.39,46,120,16,11,0,Sem_evento,34
2025-01-03,Sexta,1,Semana,Baixa,Housekeeping,0.48,57,120,22,17,0,Sem_evento,45
2025-01-04,Sábado,1,Sabado,Baixa,Housekeeping,0.56,67,120,25,16,0,Sem_evento,49
2025-01-05,Domingo,1,Domingo,Baixa,Housekeeping,0.49,58,120,22,21,0,Sem_evento,50
2025-01-06,Segunda,1,Semana,Baixa,Housekeeping,0.39,46,120,12,17,0,Sem_evento,40
2025-01-07,Terça,1,Semana,Baixa,Housekeeping,0.46,55,120,19,18,0,Sem_evento,45
2025-01-08,Quarta,1,Semana,Baixa,Housekeeping,0.43,51,120,18,13,0,Sem_evento,38
2025-01-09,Quinta,1,Semana,Baixa,Housekeeping,0.38,45,120,14,16,0,Sem_evento,38
2025-01-10,Sexta,1,Semana,Baixa,Housekeeping,0.47,56,120,22,21,0,Sem_evento,49
2025-01-11,Sábado,1,Sabado,Baixa,Housekeeping,0.48,57,120,23,22,0,Sem_evento,50
2025-01-12,Domingo,1,Domingo,Baixa,Housekeeping,0.48,57,120,20,13,0,Sem_evento,41
2025-01-13,Segunda,1,Semana,Baixa,Housekeeping,0.41,49,120,16,15,0,Sem_evento,39
2025-01-14,Terça,1,Semana,Baixa,Housekeeping,0.32,38,120,13,11,0,Sem_evento,30
2025-01-15,Quarta,1,Semana,Baixa,Housekeeping,0.33,39,120,14,12,0,Sem_evento,31
2025-01-16,Quinta,1,Semana,Baixa,Housekeeping,0.38,45,120,13,9,0,Sem_evento,31
2025-01-17,Sexta,1,Semana,Baixa,Housekeeping,0.41,49,120,14,12,0,Sem_evento,36
2025-01-18,Sábado,1,Sabado,Baixa,Housekeeping,0.51,61,120,19,17,0,Sem_evento,47
2025-01-19,Domingo,1,Domingo,Baixa,Housekeeping,0.46,55,120,19,19,0,Sem_evento,46
2025-01-20,Segunda,1,Semana,Baixa,Housekeeping,0.34,40,120,12,11,0,Sem_evento,31
2025-01-21,Terça,1,Semana,Baixa,Housekeeping,0.46,55,120,14,11,0,Sem_evento,38
2025-01-22,Quarta,1,Semana,Baixa,Housekeeping,0.39,46,120,15,12,0,Sem_evento,35
2025-01-23,Quinta,1,Semana,Baixa,Housekeeping,0.4,48,120,16,13,0,Sem_evento,37
2025-01-24,Sexta,1,Semana,Baixa,Housekeeping,0.39,46,120,14,11,0,Sem_evento,34
