atividade_tipologia_id,data,tipologia_id,unidade_hotel,departamento,quartos_ocupados,quartos_checkout,quartos_stayover,carga_limpeza_min
AT0001,2025-01-01,TQ01,Unidade 1,Housekeeping,12,3,9,210
AT0002,2025-01-01,TQ02,Unidade 1,Housekeeping,24,6,18,570
AT0003,2025-01-01,TQ03,Unidade 1,Housekeeping,18,5,13,476
AT0004,2025-01-01,TQ04,Unidade 1,Housekeeping,6,1,5,230
AT0005,2025-01-01,TQ05,Unidade 1,Housekeeping,2,1,1,130
AT0006,2025-01-02,TQ01,Unidade 1,Housekeeping,8,2,6,140
AT0007,2025-01-02,TQ02,Unidade 1,Housekeeping,21,5,16,495
AT0008,2025-01-02,TQ03,Unidade 1,Housekeeping,15,4,11,394
AT0009,2025-01-02,TQ04,Unidade 1,Housekeeping,2,0,2,70
AT0010,2025-01-02,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0011,2025-01-03,TQ01,Unidade 1,Housekeeping,19,6,13,345
AT0012,2025-01-03,TQ02,Unidade 1,Housekeeping,30,9,21,735
AT0013,2025-01-03,TQ03,Unidade 1,Housekeeping,3,1,2,82
AT0014,2025-01-03,TQ04,Unidade 1,Housekeeping,5,1,4,195
AT0015,2025-01-03,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0016,2025-01-04,TQ01,Unidade 1,Housekeeping,18,4,14,310
AT0017,2025-01-04,TQ02,Unidade 1,Housekeeping,36,9,27,855
AT0018,2025-01-04,TQ03,Unidade 1,Housekeeping,10,2,8,252
AT0019,2025-01-04,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0020,2025-01-04,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0021,2025-01-05,TQ01,Unidade 1,Housekeeping,21,7,14,385
AT0022,2025-01-05,TQ02,Unidade 1,Housekeeping,27,10,17,690
AT0023,2025-01-05,TQ03,Unidade 1,Housekeeping,3,1,2,82
AT0024,2025-01-05,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0025,2025-01-05,TQ05,Unidade 1,Housekeeping,5,2,3,310
AT0026,2025-01-06,TQ01,Unidade 1,Housekeeping,18,7,11,340
AT0027,2025-01-06,TQ02,Unidade 1,Housekeeping,19,7,12,485
AT0028,2025-01-06,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0029,2025-01-06,TQ04,Unidade 1,Housekeeping,0,0,0,0
AT0030,2025-01-06,TQ05,Unidade 1,Housekeeping,2,1,1,130
AT0031,2025-01-07,TQ01,Unidade 1,Housekeeping,12,4,8,220
AT0032,2025-01-07,TQ02,Unidade 1,Housekeeping,17,6,11,430
AT0033,2025-01-07,TQ03,Unidade 1,Housekeeping,19,6,13,514
AT0034,2025-01-07,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0035,2025-01-07,TQ05,Unidade 1,Housekeeping,4,1,3,230
AT0036,2025-01-08,TQ01,Unidade 1,Housekeeping,14,3,11,240
AT0037,2025-01-08,TQ02,Unidade 1,Housekeeping,23,6,17,550
AT0038,2025-01-08,TQ03,Unidade 1,Housekeeping,10,3,7,268
AT0039,2025-01-08,TQ04,Unidade 1,Housekeeping,0,0,0,0
AT0040,2025-01-08,TQ05,Unidade 1,Housekeeping,4,1,3,230
AT0041,2025-01-09,TQ01,Unidade 1,Housekeeping,16,6,10,300
AT0042,2025-01-09,TQ02,Unidade 1,Housekeeping,13,4,9,320
AT0043,2025-01-09,TQ03,Unidade 1,Housekeeping,13,5,8,366
AT0044,2025-01-09,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0045,2025-01-09,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0046,2025-01-10,TQ01,Unidade 1,Housekeeping,17,6,11,315
AT0047,2025-01-10,TQ02,Unidade 1,Housekeeping,29,11,18,745
AT0048,2025-01-10,TQ03,Unidade 1,Housekeeping,4,2,2,120
AT0049,2025-01-10,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0050,2025-01-10,TQ05,Unidade 1,Housekeeping,5,2,3,310
AT0051,2025-01-11,TQ01,Unidade 1,Housekeeping,20,8,12,380
AT0052,2025-01-11,TQ02,Unidade 1,Housekeeping,24,9,15,615
AT0053,2025-01-11,TQ03,Unidade 1,Housekeeping,11,4,7,306
AT0054,2025-01-11,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0055,2025-01-11,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0056,2025-01-12,TQ01,Unidade 1,Housekeeping,14,3,11,240
AT0057,2025-01-12,TQ02,Unidade 1,Housekeeping,28,6,22,650
AT0058,2025-01-12,TQ03,Unidade 1,Housekeeping,3,1,2,82
AT0059,2025-01-12,TQ04,Unidade 1,Housekeeping,7,2,5,285
AT0060,2025-01-12,TQ05,Unidade 1,Housekeeping,5,1,4,280
AT0061,2025-01-13,TQ01,Unidade 1,Housekeeping,17,5,12,305
AT0062,2025-01-13,TQ02,Unidade 1,Housekeeping,23,7,16,565
AT0063,2025-01-13,TQ03,Unidade 1,Housekeeping,6,2,4,164
AT0064,2025-01-13,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0065,2025-01-13,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0066,2025-01-14,TQ01,Unidade 1,Housekeeping,6,2,4,110
AT0067,2025-01-14,TQ02,Unidade 1,Housekeeping,25,7,18,605
AT0068,2025-01-14,TQ03,Unidade 1,Housekeeping,5,2,3,142
AT0069,2025-01-14,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0070,2025-01-14,TQ05,Unidade 1,Housekeeping,1,0,1,50
AT0071,2025-01-15,TQ01,Unidade 1,Housekeeping,11,3,8,195
AT0072,2025-01-15,TQ02,Unidade 1,Housekeeping,17,5,12,415
AT0073,2025-01-15,TQ03,Unidade 1,Housekeeping,8,3,5,224
AT0074,2025-01-15,TQ04,Unidade 1,Housekeeping,1,0,1,35
AT0075,2025-01-15,TQ05,Unidade 1,Housekeeping,2,1,1,130
AT0076,2025-01-16,TQ01,Unidade 1,Housekeeping,12,2,10,200
AT0077,2025-01-16,TQ02,Unidade 1,Housekeeping,18,4,14,420
AT0078,2025-01-16,TQ03,Unidade 1,Housekeeping,12,2,10,296
AT0079,2025-01-16,TQ04,Unidade 1,Housekeeping,3,1,2,125
AT0080,2025-01-16,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0081,2025-01-17,TQ01,Unidade 1,Housekeeping,18,4,14,310
AT0082,2025-01-17,TQ02,Unidade 1,Housekeeping,22,5,17,515
AT0083,2025-01-17,TQ03,Unidade 1,Housekeeping,7,2,5,186
AT0084,2025-01-17,TQ04,Unidade 1,Housekeeping,2,1,1,90
AT0085,2025-01-17,TQ05,Unidade 1,Housekeeping,0,0,0,0
AT0086,2025-01-18,TQ01,Unidade 1,Housekeeping,10,3,7,180
