data,dia_semana,departamento,funcao,turno_id,colaboradores_minimos,colaboradores_ideais,origem_necessidade
2025-01-01,Quarta,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-01-01,Quarta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-01,Quarta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-01,Quarta,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-01-01,Quarta,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-01,Quarta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-01,Quarta,Housekeeping,Empregada de andares,T3,2,2,manual
2025-01-01,Quarta,Housekeeping,Supervisora,T3,1,1,manual
2025-01-01,Quarta,Housekeeping,Auxiliar de limpeza,T3,1,1,manual
2025-01-02,Quinta,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-01-02,Quinta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-02,Quinta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-02,Quinta,Housekeeping,Empregada de andares,T2,2,2,manual
2025-01-02,Quinta,Housekeeping,Supervisora,T2,1,1,manual
2025-01-02,Quinta,Housekeeping,Auxiliar de limpeza,T2,1,1,manual
2025-01-02,Quinta,Housekeeping,Empregada de andares,T3,2,2,previsão
2025-01-02,Quinta,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-02,Quinta,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-03,Sexta,Housekeeping,Empregada de andares,T1,3,4,previsão
2025-01-03,Sexta,Housekeeping,Supervisora,T1,1,2,previsão
2025-01-03,Sexta,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-03,Sexta,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-03,Sexta,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-03,Sexta,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-03,Sexta,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-03,Sexta,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-03,Sexta,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-04,Sábado,Housekeeping,Empregada de andares,T1,5,5,histórico
2025-01-04,Sábado,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-04,Sábado,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-04,Sábado,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-04,Sábado,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-04,Sábado,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-04,Sábado,Housekeeping,Empregada de andares,T3,2,2,manual
2025-01-04,Sábado,Housekeeping,Supervisora,T3,1,1,manual
2025-01-04,Sábado,Housekeeping,Auxiliar de limpeza,T3,1,1,manual
2025-01-05,Domingo,Housekeeping,Empregada de andares,T1,5,6,histórico
2025-01-05,Domingo,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-05,Domingo,Housekeeping,Auxiliar de limpeza,T1,1,2,histórico
2025-01-05,Domingo,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-05,Domingo,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-05,Domingo,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-05,Domingo,Housekeeping,Empregada de andares,T3,1,1,previsão
2025-01-05,Domingo,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-05,Domingo,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-06,Segunda,Housekeeping,Empregada de andares,T1,4,4,histórico
2025-01-06,Segunda,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-06,Segunda,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-06,Segunda,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-01-06,Segunda,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-06,Segunda,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-06,Segunda,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-06,Segunda,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-06,Segunda,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-07,Terça,Housekeeping,Empregada de andares,T1,4,4,previsão
2025-01-07,Terça,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-07,Terça,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-07,Terça,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-01-07,Terça,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-07,Terça,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-07,Terça,Housekeeping,Empregada de andares,T3,2,2,histórico
2025-01-07,Terça,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-07,Terça,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-08,Quarta,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-01-08,Quarta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-08,Quarta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-08,Quarta,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-01-08,Quarta,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-08,Quarta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-08,Quarta,Housekeeping,Empregada de andares,T3,1,2,previsão
2025-01-08,Quarta,Housekeeping,Supervisora,T3,1,1,previsão
2025-01-08,Quarta,Housekeeping,Auxiliar de limpeza,T3,1,1,previsão
2025-01-09,Quinta,Housekeeping,Empregada de andares,T1,3,4,histórico
2025-01-09,Quinta,Housekeeping,Supervisora,T1,1,2,histórico
2025-01-09,Quinta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-09,Quinta,Housekeeping,Empregada de andares,T2,3,3,manual
2025-01-09,Quinta,Housekeeping,Supervisora,T2,1,2,manual
2025-01-09,Quinta,Housekeeping,Auxiliar de limpeza,T2,1,1,manual
2025-01-09,Quinta,Housekeeping,Empregada de andares,T3,1,2,manual
2025-01-09,Quinta,Housekeeping,Supervisora,T3,1,1,manual
2025-01-09,Quinta,Housekeeping,Auxiliar de limpeza,T3,1,1,manual
2025-01-10,Sexta,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-01-10,Sexta,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-10,Sexta,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-10,Sexta,Housekeeping,Empregada de andares,T2,3,3,previsão
2025-01-10,Sexta,Housekeeping,Supervisora,T2,1,2,previsão
2025-01-10,Sexta,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-10,Sexta,Housekeeping,Empregada de andares,T3,2,2,manual
2025-01-10,Sexta,Housekeeping,Supervisora,T3,1,1,manual
2025-01-10,Sexta,Housekeeping,Auxiliar de limpeza,T3,1,1,manual
2025-01-11,Sábado,Housekeeping,Empregada de andares,T1,4,5,manual
2025-01-11,Sábado,Housekeeping,Supervisora,T1,2,2,manual
2025-01-11,Sábado,Housekeeping,Auxiliar de limpeza,T1,1,1,manual
2025-01-11,Sábado,Housekeeping,Empregada de andares,T2,2,2,histórico
2025-01-11,Sábado,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-11,Sábado,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-11,Sábado,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-11,Sábado,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-11,Sábado,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-12,Domingo,Housekeeping,Empregada de andares,T1,5,6,previsão
2025-01-12,Domingo,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-12,Domingo,Housekeeping,Auxiliar de limpeza,T1,1,2,previsão
2025-01-12,Domingo,Housekeeping,Empregada de andares,T2,3,3,manual
2025-01-12,Domingo,Housekeeping,Supervisora,T2,1,2,manual
2025-01-12,Domingo,Housekeeping,Auxiliar de limpeza,T2,1,1,manual
2025-01-12,Domingo,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-12,Domingo,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-12,Domingo,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-13,Segunda,Housekeeping,Empregada de andares,T1,4,5,histórico
2025-01-13,Segunda,Housekeeping,Supervisora,T1,2,2,histórico
2025-01-13,Segunda,Housekeeping,Auxiliar de limpeza,T1,1,1,histórico
2025-01-13,Segunda,Housekeeping,Empregada de andares,T2,2,3,histórico
2025-01-13,Segunda,Housekeeping,Supervisora,T2,1,1,histórico
2025-01-13,Segunda,Housekeeping,Auxiliar de limpeza,T2,1,1,histórico
2025-01-13,Segunda,Housekeeping,Empregada de andares,T3,1,1,histórico
2025-01-13,Segunda,Housekeeping,Supervisora,T3,1,1,histórico
2025-01-13,Segunda,Housekeeping,Auxiliar de limpeza,T3,1,1,histórico
2025-01-14,Terça,Housekeeping,Empregada de andares,T1,4,4,previsão
2025-01-14,Terça,Housekeeping,Supervisora,T1,2,2,previsão
2025-01-14,Terça,Housekeeping,Auxiliar de limpeza,T1,1,1,previsão
2025-01-14,Terça,Housekeeping,Empregada de andares,T2,2,3,previsão
2025-01-14,Terça,Housekeeping,Supervisora,T2,1,1,previsão
2025-01-14,Terça,Housekeeping,Auxiliar de limpeza,T2,1,1,previsão
2025-01-14,Terça,Housekeeping,Empregada de andares,T3,2,2,previsão
2025-01-14,Terça,Housekeeping,Supervisora,T3,1,1,previsão
