disponibilidade_id,colaborador_id,data,turno_id,disponivel,tipo_disponibilidade,horas_disponiveis,motivo_indisponibilidade,tipo_indisponibilidade,comunicado_em,horas_antecedencia,ativo
D0001,C001,2025-01-01,T1,1,Total,7,,,,,1
D0002,C001,2025-01-01,T2,1,Total,8,,,,,1
D0003,C001,2025-01-01,T3,1,Total,9,,,,,1
D0004,C001,2025-01-02,T1,1,Total,7,,,,,1
D0005,C001,2025-01-02,T2,1,Total,8,,,,,1
D0006,C001,2025-01-02,T3,1,Total,9,,,,,1
D0007,C001,2025-01-03,T1,1,Total,7,,,,,1
D0008,C001,2025-01-03,T2,1,Total,8,,,,,1
D0009,C001,2025-01-03,T3,1,Total,9,,,,,1
D0010,C001,2025-01-04,T1,1,Total,7,,,,,1
D0011,C001,2025-01-04,T2,1,Total,8,,,,,1
D0012,C001,2025-01-04,T3,1,Total,9,,,,,1
D0013,C001,2025-01-05,T1,1,Total,7,,,,,1
D0014,C001,2025-01-05,T2,1,Total,8,,,,,1
D0015,C001,2025-01-05,T3,1,Total,9,,,,,1
D0016,C001,2025-01-06,T1,1,Total,7,,,,,1
D0017,C001,2025-01-06,T2,1,Total,8,,,,,1
D0018,C001,2025-01-06,T3,1,Total,9,,,,,1
D0019,C001,2025-01-07,T1,1,Total,7,,,,,1
D0020,C001,2025-01-07,T2,1,Total,8,,,,,1
D0021,C001,2025-01-07,T3,1,Total,9,,,,,1
D0022,C001,2025-01-08,T1,1,Total,7,,,,,1
D0023,C001,2025-01-08,T2,1,Total,8,,,,,1
D0024,C001,2025-01-08,T3,1,Total,9,,,,,1
D0025,C001,2025-01-09,T1,1,Total,7,,,,,1
D0026,C001,2025-01-09,T2,1,Total,8,,,,,1
D0027,C001,2025-01-09,T3,1,Total,9,,,,,1
D0028,C001,2025-01-10,T1,1,Total,7,,,,,1
D0029,C001,2025-01-10,T2,1,Total,8,,,,,1
D0030,C001,2025-01-10,T3,1,Parcial,4,formação,planeada,2025-01-09 17:18,28.7,1
D0031,C001,2025-01-11,T1,1,Total,7,,,,,1
D0032,C001,2025-01-11,T2,1,Total,8,,,,,1
D0033,C001,2025-01-11,T3,1,Total,9,,,,,1
D0034,C001,2025-01-12,T1,1,Total,7,,,,,1
D0035,C001,2025-01-12,T2,1,Total,8,,,,,1
D0036,C001,2025-01-12,T3,1,Total,9,,,,,1
D0037,C001,2025-01-13,T1,1,Total,7,,,,,1
D0038,C001,2025-01-13,T2,1,Total,8,,,,,1
D0039,C001,2025-01-13,T3,1,Total,9,,,,,1
D0040,C001,2025-01-14,T1,1,Total,7,,,,,1
D0041,C001,2025-01-14,T2,1,Total,8,,,,,1
D0042,C001,2025-01-14,T3,0,Indisponível,0,preferencia_pessoal,planeada,2024-12-17 00:48,693.2,1
D0043,C001,2025-01-15,T1,1,Parcial,4,preferencia_pessoal,planeada,2025-01-02 10:42,308.3,1
D0044,C001,2025-01-15,T2,1,Total,8,,,,,1
D0045,C001,2025-01-15,T3,1,Total,9,,,,,1
D0046,C001,2025-01-16,T1,1,Total,7,,,,,1
D0047,C001,2025-01-16,T2,1,Total,8,,,,,1
D0048,C001,2025-01-16,T3,1,Total,9,,,,,1
D0049,C001,2025-01-17,T1,1,Total,7,,,,,1
D0050,C001,2025-01-17,T2,1,Total,8,,,,,1
D0051,C001,2025-01-17,T3,1,Total,9,,,,,1
D0052,C001,2025-01-18,T1,1,Total,7,,,,,1
D0053,C001,2025-01-18,T2,1,Total,8,,,,,1
D0054,C001,2025-01-18,T3,1,Total,9,,,,,1
D0055,C001,2025-01-19,T1,1,Parcial,4,formação,planeada,2025-01-08 12:12,258.8,1
D0056,C001,2025-01-19,T2,1,Total,8,,,,,1
D0057,C001,2025-01-19,T3,1,Total,9,,,,,1
D0058,C001,2025-01-20,T1,1,Total,7,,,,,1
D0059,C001,2025-01-20,T2,1,Total,8,,,,,1
D0060,C001,2025-01-20,T3,1,Total,9,,,,,1
D0061,C001,2025-01-21,T1,1,Total,7,,,,,1
D0062,C001,2025-01-21,T2,1,Total,8,,,,,1
D0063,C001,2025-01-21,T3,1,Total,9,,,,,1
D0064,C001,2025-01-22,T1,1,Total,7,,,,,1
D0065,C001,2025-01-22,T2,1,Total,8,,,,,1
D0066,C001,2025-01-22,T3,1,Total,9,,,,,1
D0067,C001,2025-01-23,T1,1,Total,7,,,,,1
D0068,C001,2025-01-23,T2,1,Total,8,,,,,1
D0069,C001,2025-01-23,T3,1,Total,9,,,,,1
D0070,C001,2025-01-24,T1,1,Total,7,,,,,1
D0071,C001,2025-01-24,T2,1,Total,8,,,,,1
D0072,C001,2025-01-24,T3,1,Total,9,,,,,1
D0073,C001,2025-01-25,T1,1,Total,7,,,,,1
D0074,C001,2025-01-25,T2,1,Total,8,,,,,1
D0075,C001,2025-01-25,T3,1,Total,9,,,,,1
D0076,C001,2025-01-26,T1,1,Total,7,,,,,1
D0077,C001,2025-01-26,T2,1,Total,8,,,,,1
D0078,C001,2025-01-26,T3,1,Total,9,,,,,1
D0079,C001,2025-01-27,T1,1,Total,7,,,,,1
D0080,C001,2025-01-27,T2,1,Total,8,,,,,1
D0081,C001,2025-01-27,T3,1,Total,9,,,,,1
D0082,C001,2025-01-28,T1,1,Total,7,,,,,1
D0083,C001,2025-01-28,T2,1,Total,8,,,,,1
