colaborador_id,turno_id,score_preferencia_turno,folga_preferida_dow,ativo
C001,T1,0,3,1
C001,T2,2,3,1
C001,T3,1,3,1
C002,T1,1,3,1
C002,T2,2,3,1
C002,T3,1,3,1
C003,T1,2,2,1
C003,T2,1,2,1
C003,T3,2,2,1
C004,T1,1,5,1
C004,T2,1,5,1
C004,T3,2,5,1
C005,T1,2,6,1
C005,T2,0,6,1
C005,T3,0,6,1
C006,T1,2,0,1
C006,T2,2,0,1
C006,T3,0,0,1
C007,T1,1,5,1
C007,T2,0,5,1
C007,T3,0,5,1
C008,T1,2,5,1
C008,T2,2,5,1
C008,T3,0,5,1
C009,T1,0,6,1
C009,T2,2,6,1
C009,T3,2,6,1
C010,T1,2,3,1
C010,T2,2,3,1
C010,T3,2,3,1
C011,T1,2,6,1
C011,T2,2,6,1
C011,T3,2,6,1
C012,T1,0,1,1
C012,T2,1,1,1
C012,T3,1,1,1
C013,T1,1,0,1
C013,T2,2,0,1
C013,T3,1,0,1
C014,T1,2,4,1
C014,T2,2,4,1
C014,T3,1,4,1
C015,T1,1,4,1
C015,T2,2,4,1
C015,T3,2,4,1
C016,T1,1,1,1
C016,T2,1,1,1
C016,T3,0,1,1
C017,T1,2,0,1
C017,T2,1,0,1
C017,T3,2,0,1
C018,T1,0,6,1
C018,T2,1,6,1
C018,T3,2,6,1
C019,T1,2,2,1
C019,T2,2,2,1
C019,T3,1,2,1
C020,T1,1,1,1
C020,T2,1,1,1
C020,T3,0,1,1
