qualificacao_id,colaborador_id,departamento,qualificacao,nivel_qualificacao,pode_executar,certificado,ativo
Q001,C001,Housekeeping,supervisao,4,1,1,1
Q002,C001,Housekeeping,quartos_saida,5,1,0,1
Q003,C001,Housekeeping,quartos_ocupados,4,1,0,1
Q004,C001,Housekeeping,reposicao_amenities,5,1,0,1
Q005,C001,Housekeeping,primeiros_socorros,5,1,1,1
Q006,C002,Housekeeping,supervisao,4,1,1,1
Q007,C002,Housekeeping,quartos_saida,4,1,0,1
Q008,C002,Housekeeping,quartos_ocupados,4,1,0,1
Q009,C002,Housekeeping,limpeza_profunda,3,1,1,1
Q010,C002,Housekeeping,reposicao_amenities,3,1,1,1
Q011,C003,Housekeeping,quartos_saida,3,1,1,1
Q012,C003,Housekeeping,quartos_ocupados,2,1,1,1
Q013,C004,Housekeeping,quartos_saida,3,1,1,1
Q014,C004,Housekeeping,quartos_ocupados,3,1,0,1
Q015,C004,Housekeeping,limpeza_profunda,4,1,0,1
Q016,C004,Housekeeping,areas_publicas,2,1,0,1
Q017,C005,Housekeeping,areas_publicas,1,1,1,1
Q018,C006,Housekeeping,quartos_saida,4,1,0,1
Q019,C006,Housekeeping,quartos_ocupados,4,1,1,1
Q020,C006,Housekeeping,limpeza_profunda,3,1,0,1
Q021,C006,Housekeeping,supervisao,4,1,1,1
Q022,C007,Housekeeping,quartos_saida,2,1,0,1
Q023,C007,Housekeeping,quartos_ocupados,4,1,0,1
Q024,C007,Housekeeping,limpeza_profunda,2,1,0,1
Q025,C007,Housekeeping,reposicao_amenities,2,1,1,1
Q026,C008,Housekeeping,quartos_saida,2,1,1,1
Q027,C008,Housekeeping,quartos_ocupados,2,1,0,1
Q028,C008,Housekeeping,reposicao_amenities,3,1,0,1
Q029,C008,Housekeeping,primeiros_socorros,4,1,1,1
Q030,C009,Housekeeping,supervisao,5,1,0,1
Q031,C009,Housekeeping,quartos_saida,4,1,1,1
Q032,C009,Housekeeping,quartos_ocupados,4,1,0,1
Q033,C009,Housekeeping,reposicao_amenities,4,1,0,1
Q034,C010,Housekeeping,supervisao,3,1,1,1
Q035,C010,Housekeeping,quartos_saida,4,1,1,1
Q036,C010,Housekeeping,quartos_ocupados,4,1,1,1
Q037,C010,Housekeeping,reposicao_amenities,4,1,0,1
Q038,C010,Housekeeping,primeiros_socorros,3,1,1,1
Q039,C011,Housekeeping,supervisao,5,1,0,1
Q040,C011,Housekeeping,quartos_saida,4,1,1,1
Q041,C011,Housekeeping,quartos_ocupados,4,1,0,1
Q042,C011,Housekeeping,reposicao_amenities,5,1,1,1
Q043,C011,Housekeeping,limpeza_profunda,4,1,0,1
Q044,C012,Housekeeping,supervisao,3,1,0,1
Q045,C012,Housekeeping,quartos_saida,4,1,1,1
Q046,C012,Housekeeping,quartos_ocupados,4,1,0,1
Q047,C012,Housekeeping,reposicao_amenities,4,1,0,1
Q048,C012,Housekeeping,limpeza_profunda,4,1,0,1
Q049,C013,Housekeeping,quartos_saida,2,1,1,1
Q050,C013,Housekeeping,quartos_ocupados,2,1,0,1
Q051,C014,Housekeeping,areas_publicas,3,1,0,1
Q052,C015,Housekeeping,quartos_saida,2,1,0,1
Q053,C015,Housekeeping,quartos_ocupados,3,1,0,1
Q054,C015,Housekeeping,limpeza_profunda,3,1,0,1
Q055,C015,Housekeeping,areas_publicas,2,1,1,1
Q056,C016,Housekeeping,supervisao,3,1,0,1
Q057,C016,Housekeeping,quartos_saida,4,1,0,1
Q058,C016,Housekeeping,quartos_ocupados,4,1,0,1
Q059,C016,Housekeeping,areas_publicas,3,1,1,1
Q060,C016,Housekeeping,reposicao_amenities,3,1,1,1
Q061,C017,Housekeeping,supervisao,4,1,1,1
Q062,C017,Housekeeping,quartos_saida,4,1,0,1
Q063,C017,Housekeeping,quartos_ocupados,4,1,0,1
Q064,C017,Housekeeping,reposicao_amenities,4,1,0,1
Q065,C017,Housekeeping,areas_publicas,5,1,1,1
Q066,C017,Housekeeping,primeiros_socorros,5,1,0,1
Q067,C018,Housekeeping,supervisao,4,1,0,1
Q068,C018,Housekeeping,quartos_saida,3,1,1,1
Q069,C018,Housekeeping,quartos_ocupados,3,1,1,1
Q070,C018,Housekeeping,areas_publicas,4,1,0,1
Q071,C019,Housekeeping,areas_publicas,1,1,0,1
Q072,C019,Housekeeping,quartos_saida,1,1,1,1
Q073,C020,Housekeeping,supervisao,3,1,0,1
Q074,C020,Housekeeping,quartos_saida,4,1,0,1
Q075,C020,Housekeeping,quartos_ocupados,4,1,0,1
